업태구분명,사업장명,lat,lng,지번주소
대형마트,롯데쇼핑(주)롯데마트 송파점,37.4917424,127.1177733,서울특별시 송파구 문정동 150번지 2호
백화점,롯데백화점 노원점,37.6554273,127.0618607,서울특별시 노원구 상계동 713호
백화점,신세계백화점,37.560923,126.9809749,서울특별시 중구 충무로1가 52번지 5호 신세계백화점건물
백화점,롯데백화점 본점,37.5646834,126.9813312,
대형마트,롯데쇼핑(주)롯데마트 제타플렉스 서울역점,37.5588338,126.9707263,서울특별시 중구 봉래동2가 122호
대형마트,주식회사 이마트 청계천점,37.5708678,127.021128,서울특별시 중구 황학동 2545번지
백화점,아이파크(I PARK)백화점,37.5296317,126.9646109,서울특별시 용산구 한강로3가 40번지 999호
대형마트,(주)이마트 왕십리점,37.5592604,127.0384274,서울특별시 성동구 행당동 168번지 1호
대형마트,롯데쇼핑(주)롯데마트 강변점,37.5357272,127.0957117,서울특별시 광진구 구의동 546번지 4호
대형마트,(주)이마트 자양점,37.5385694,127.0729674,서울특별시 광진구 자양동 227번지 7호
백화점,롯데백화점 건대스타시티점,37.5390078,127.0714344,서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점
대형마트,홈플러스(주) 동대문점,37.5745539,127.0387742,서울특별시 동대문구 용두동 33번지 1호
대형마트,롯데쇼핑(주)롯데마트 청량리점,37.5813972,127.0493287,서울특별시 동대문구 전농1동 591번지 53호
백화점,롯데백화점 청량리역사점,37.5813972,127.0493287,서울특별시 동대문구 전농1동 591번지 53호
대형마트,홈플러스 신내점,37.6158239,127.0937458,서울특별시 중랑구 신내2동 645번지
대형마트,홈플러스(주)면목점,37.5811836,127.0803759,서울특별시 중랑구 면목동 168번지 2호
대형마트,주식회사 이마트 묵동점,37.6141128,127.0775805,서울특별시 중랑구 묵1동 170번지 1호 외 35필지
대형마트,홈플러스(주) 서울 상봉점,37.5981512,127.0909705,서울특별시 중랑구 상봉1동 500번지
대형마트,코스트코홀세일 상봉점,37.5968756,127.0903066,서울특별시 중랑구 상봉동 81호
대형마트,이마트 하월곡점,37.6057292,127.0309889,서울특별시 성북구 하월곡동 230번지 동일하이빌뉴시티아파트
대형마트,이마트 미아점,37.6109059,127.0293701,서울특별시 성북구 길음동 25번지 2호
백화점,현대백화점 미아점,37.608405,127.028757,서울특별시 성북구 길음동 20번지 1호
