name,type,address,위도,경도
50플러스 수영장,수영장,서울특별시 구로구 오류로 36-25,37.4905033,126.84109
가곡초등학교,기타,서울특별시 강서구 공항대로36길 74,37.5555863,126.8357391
가양레포츠센터,생활체육관,서울특별시 강서구 양천로61길 101,37.5596438,126.8649933
가양레포츠센터 어린이야구장,야구장,서울특별시 강서구 양천로61길 101,37.5596438,126.8649933
가양레포츠센터 축구장,축구장,서울특별시 강서구 양천로61길 101,37.5596438,126.8649933
가양초등학교,기타,서울특별시 강서구 허준로 186,37.5652746,126.8535207
가좌다목적구장,생활체육관,서울특별시 서대문구 백련사길 55,37.580739,126.9328558
간데메공원 농구장,농구장,서울특별시 동대문구 서울시립대로2길 59,37.5727969,127.0491358
갈산근린공원 농구장,농구장,서울특별시 양천구 안양천로539길 46,37.5048152,126.8687172
갈월종합사회복지관 수영장,수영장,서울특별시 용산구 두텁바위로 25,37.5457464,126.9748285
갈월종합사회복지관 체육관,생활체육관,서울특별시 용산구 두텁바위로 25,37.5457464,126.9748285
강남구민체육관,생활체육관,서울특별시 강남구 개포로28길 47,37.4769917,127.0518118
강남구민회관 체육교실,생활체육관,서울특별시 강남구 삼성로 154 ,37.4938844,127.0642278
강남세곡체육공원체육시설,기타,서울특별시 강남구 헌릉로 679,37.4649611,127.1044197
강남스포츠문화센터,생활체육관,서울특별시 강남구 밤고개로1길 52,37.4887622,127.1030367
강남주민편익시설,기타,서울특별시 강남구 남부순환로 3318,37.4872884,127.0476339
강남주민편익시설 수영장,수영장,서울특별시 강남구 남부순환로 3318 ,37.4872884,127.0476339
강동유소년스포츠센터,생활체육관,서울특별시 강동구 상일로12길 60,37.5538105,127.1727391
강동청소년회관 수영장,수영장,서울특별시 강동구 양재대로138길 41,37.5495874,127.145588
강북구민운동장,축구장,서울특별시 강북구 오현로 187-25,37.6291546,127.0383981
강북문화예술회관,생활체육관,서울특별시 강북구 삼각산로 85,37.6389914,127.0089573
강북문화예술회관 수영장,수영장,서울특별시 강북구 삼각산로 85,37.6389914,127.0089573
강북웰빙스포츠센터,생활체육관,서울특별시 강북구 오현로31길 51,37.6322227,127.0349297
강북웰빙스포츠센터 수영장,수영장,서울특별시 강북구 오현로31길 51 ,37.6322227,127.0349297
강북종합체육센터,생활체육관,서울특별시 강북구 솔샘로48길 14,37.6192617,127.0187259
강서개화축구장,축구장,서울특별시 강서구 개화동로8길 38,37.5792693,126.7980334
강서다목적체육관,생활체육관,서울특별시 강서구 초록마을로5길 43,37.5438177,126.8476623
강서한강공원 인공암벽장,기타,서울특별시 강서구 양천로27길 279-23,37.5800489,126.8197107
강서한강공원 족구장,기타,서울특별시 강서구 개화동 173-8,37.586723,126.8041792
강일테니스장,테니스장,서울특별시 강동구 강일동 157-2,37.56723,127.1713
강일테니스장 내 족구장,기타,서울특별시 강동구 아리수로93가길 34,37.5755468,127.169438
개운산스포츠센터,생활체육관,서울특별시 성북구 북악산로 949-60,37.6005111,127.0171049
개운산스포츠센터 수영장,수영장,서울특별시 성북구 북악산로 949-60,37.6005111,127.0171049
개운산인조잔디구장,축구장,서울특별시 성북구 북악산로 949-60,37.6005111,127.0171049
개웅산생활체육관,생활체육관,서울특별시 구로구 개봉로3길 108-20,37.4862832,126.8543655
개웅중학교,기타,서울특별시 구로구 개봉로11길 81,37.4872099,126.8556243
건강힐링문화관,생활체육관,서울특별시 양천구 남부순환로83길 54,37.5164676,126.8431517
경동고등학교,기타,서울특별시 성북구 삼선동3가 보문로29길 49,37.5867727,127.0136032
경서중학교,기타,서울특별시 강서구 양천로59길 31,37.5605236,126.859185
경수중학교,기타,서울특별시 성동구 뚝섬로13길 14,37.5399278,127.0577174
계남다목적체육관,생활체육관,서울특별시 양천구 신정로 273-5,37.5115553,126.8538609
고덕어울림수영장,수영장,서울특별시 강동구 고덕로 399 ,37.5546511,127.12719
고덕유수지야구장,야구장,서울특별시 강동구 아리수로87길 192,37.5640434,127.1719685
고척근린공원 농구장,농구장,서울특별시 구로구 고척로45길 1,37.5055725,126.8538738
고척근린공원 배드민턴장,배드민턴장,서울특별시 구로구 고척로45길 1,37.5055725,126.8538738
고척스카이돔 돔구장,기타,서울특별시 구로구 경인로 430,37.4981936,126.8670731
고척스카이돔 수영장,수영장,서울특별시 구로구 경인로 430,37.4981936,126.8670731
고척스카이돔 주차장 내 농구장,농구장,서울특별시 구로구 고척동 66-47,37.5032363,126.8588409
고척스카이돔 축구장,축구장,서울특별시 구로구 경인로 430,37.4981936,126.8670731
고척스카이돔 풋살구장,축구장,서울특별시 구로구 경인로 430,37.4981936,126.8670731
고척체육센터,생활체육관,서울특별시 구로구 경인로 430,37.4981936,126.8670731
고척체육센터 수영장,수영장,서울특별시 구로구 경인로 430,37.4981936,126.8670731
골마을근린공원 농구장,농구장,서울특별시 노원구 노원로 237,37.6381375,127.0770494
공릉동근린공원 다목적구장,기타,서울특별시 노원구 공릉동 63-1 ,37.63021,127.08818
공릉중학교 내 사격장,기타,서울특별시 노원구 노원로1길 42,37.6219958,127.0839475
공항동문화체육센터,생활체육관,서울특별시 강서구 송정로 45 ,37.5581086,126.811091
공항동문화체육센터 수영장,수영장,서울특별시 강서구 송정로 45 ,37.5581086,126.811091
