기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부(1/2),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,lng,lat,작업시간
A1124291,서울특별시 강남구 봉은사로 612 (삼성동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,,일신여상 건너편,(의)가산의료재단광동병원,02-2222-4888,,1900,1900,1900,1900,1900,1400,1300,1300,900,900,900,900,900,900,900,900,61,70,127.0621468,37.51428104,15:10.0
A1126019,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",B,병원,G099,응급의료기관 이외,2,점심시간 12:30~13:30,건강검진센터,독산사거리,123스텝업병원,02-6485-1234,,1800,1800,1800,1800,1800,1300,1300,1630,900,900,900,900,900,900,900,900,53,78,127.1234945,37.53739199,15:10.0
A1107300,"서울특별시 금천구 남부순환로 1400, 2~9층 (독산동)",B,병원,G099,응급의료기관 이외,2,"일요일, 공휴일 휴무",영유아검진/,관악농협 금천지점 맞은편,금천수병원,28385558,02-2276-2114,1730,1730,1730,1730,1730,1300,1400,1400,930,930,930,930,930,900,900,900,85,48,126.9064318,37.48002984,15:15.0
A1100116,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,간단한 외래진료 및 처치만 가능합니다.,교대역 12번 출구,365엠씨(mc)병원,234743653,,2000,2000,2000,2000,2000,1500,1500,1500,1100,1100,1100,1100,1100,1000,900,900,66,34,127.0141152,37.49299055,15:10.0
A1100141,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",A,종합병원,G009,응급실운영신고기관,1,외래 진료 운영시간 이외에는 응급의학과 전문의 근무,"24시간 응급실 운영 응급의학과 정형외과(사지골절) 신경외과(뇌척추 수술) 내과(소화기, 순환기) 비뇨기과(요로결석, 전립선비대증) 산부인과 심장내과(심혈관 질환, 흉통) 신장내과(투석) 신경중재의학과(뇌혈관질환, 혈관색전술) 일반외과(갑상선) 영상의학과(CT, MRI) 준중환자실 8병상운영",양재역 4번 출구 도보 5분 거리,강남베드로병원,1544-7522,1544-7522,2359,2359,2359,2359,2359,2359,2359,2359,0,0,0,0,0,0,0,0,62,71,127.0395873,37.48561218,15:10.0
A1100206,"서울특별시 관악구 남부순환로 1796, -1,2~5층 (봉천동, 삼호빌딩)",B,병원,G099,응급의료기관 이외,2,휴게시간 13:00~14:00,제대혈줄기세포를 이용한 퇴행성 관절염 치료. 축구 국가 대표팀 주치의가 관리하는 스포츠 손상. 정형외과 전문의가 진료합니다.,서울대입구역 4번 출구,강남초이스병원,02-875-2200,1544-7522,2000,1900,1900,1900,2000,1300,1800,1800,1000,1000,1000,1000,1000,1000,1400,900,87,86,126.9495953,37.48132268,10:11.0
A1117451,"서울특별시 강남구 테헤란로 337 (역삼동, 4~9층)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,제대혈줄기세포를 이용한 퇴행성 관절염 치료. 축구 국가 대표팀 주치의가 관리하는 스포츠 손상. 정형외과 전문의가 진료합니다.,선릉역 6번 출구,강남초이스병원,02-539-2250,1544-7522,1900,1900,1900,1900,1900,1400,1800,1800,930,930,930,930,930,930,1400,1400,61,50,127.0484575,37.50479491,15:11.0
A1126018,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",B,병원,G099,응급의료기관 이외,2,휴게시간 14:00~15:00,"강서케이병원은 응급의료기관 외의 의료기관(응급의료시설)으로 24시간 365일 응급실 운영. 야간, 공휴일에도 골절, 외상, 관절, 척추 질환의 응급 진료 및 수술이 가능합니다.  골절, 외상, 관절, 척추 질환을 전문으로 하며  3.0T MRI, 1.5T MRI, CT, X-ray, 초음파 등 전문 진단 장비를 갖추고 있습니다.",강서NC백화점 앞,강서푸른꿈성모어린이병원,02-3665-0823,02-6905-8585,2300,2300,2300,2300,2300,2300,2300,2300,800,800,800,800,800,800,800,800,75,87,126.845712,37.55927967,15:11.0
A1125429,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",B,병원,G009,응급실운영신고기관,1,매주 수요일 오후 휴진 (일요일 및 공휴일 휴진) 점심 13:00-14:00,평일 17시30분 접수마감/,대치역 2번 출구/대치탑프라자 201호,강철병원,02-6287-5500,02-6287-5500,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,55,84,127.0942968,37.50234558,15:11.0
A1120645,"서울특별시 강남구 언주로 631, 강남지인병원 지하2층. 2~6층 (논현동)",B,병원,G099,응급의료기관 이외,2,점심시간 12:30-14:00,제대혈줄기세포를 이용한 퇴행성 관절염 치료. 축구 국가 대표팀 주치의가 관리하는 스포츠 손상. 정형외과 전문의가 진료합니다.,강남역 12번출구 바로앞,강남지인병원,02-6985-4119,1544-7522,1700,1700,1700,1700,1700,1200,1800,1800,800,800,800,800,800,800,1400,1400,61,6,127.0350682,37.51280255,15:11.0
