school_name,type,lat,lng
서울신묵초등학교,초등학교,37.60652285,127.0758358
성동초등학교,초등학교,37.53328137,127.089281
서초중학교,중학교,37.48553868,127.0085193
독산고등학교,고등학교,37.47621872,126.9109732
일신여자상업고등학교,고등학교,37.50179413,127.1142413
서울토성초등학교,초등학교,37.53188286,127.1156331
서울등서초등학교,초등학교,37.55188439,126.8550381
중암중학교,중학교,37.57243177,126.9035851
서울성북초등학교,초등학교,37.59405389,126.9987754
혜화여자고등학교,고등학교,37.63130842,127.013212
태릉고등학교,고등학교,37.61916383,127.0855576
용문고등학교,고등학교,37.58869033,127.0246608
서울등양초등학교,초등학교,37.56494704,126.8447602
서울흥인초등학교,초등학교,37.56087001,127.0145555
강일고등학교,고등학교,37.5638281,127.1779035
오산중학교,중학교,37.52358051,127.0008872
성서중학교,중학교,37.5627873,126.9079522
은평중학교,중학교,37.61061869,126.9083472
서울세검정초등학교,초등학교,37.60346883,126.9609387
영훈국제중학교,중학교,37.61468187,127.0280933
서울신목초등학교,초등학교,37.51661098,126.8726408
서울번동초등학교,초등학교,37.62900012,127.0400394
서울신구로초등학교,초등학교,37.49966003,126.8897631
서울신사초등학교,초등학교,37.5928019,126.9119832
광성중학교,중학교,37.54869756,126.9359696
세화고등학교,고등학교,37.50199646,126.99423
영훈고등학교,고등학교,37.61468187,127.0280933
영등포공업고등학교,고등학교,37.56983562,126.8500283
대경생활과학고등학교,고등학교,37.55637326,127.0169792
환일중학교,중학교,37.55360775,126.9628071
서울미양초등학교,초등학교,37.62153242,127.0141334
서울상신초등학교,초등학교,37.59755372,126.9046049
서울신방학초등학교,초등학교,37.66668425,127.0289181
성신초등학교,초등학교,37.59462313,127.0231285
단국대학교부속소프트웨어고등학교,고등학교,37.49562483,127.0577682
숭의여자고등학교,고등학교,37.50736414,126.9292433
압구정고등학교,고등학교,37.53113395,127.0327116
월계고등학교,고등학교,37.63173301,127.0487159
문현고등학교,고등학교,37.48131355,127.1287623
사당중학교,중학교,37.48776119,126.9685407
서울청담초등학교,초등학교,37.52828187,127.045153
명덕여자중학교,중학교,37.55394399,126.8342914
홍익대학교사범대학부속초등학교,초등학교,37.55964474,126.9132084
서울청계초등학교,초등학교,37.64503406,127.0661389
서울대모초등학교,초등학교,37.48059845,127.0859938
한성여자중학교,중학교,37.5830649,127.0117427
서울당산초등학교,초등학교,37.54011912,126.8962411
신남중학교,중학교,37.52077389,126.8478926
은광여자고등학교,고등학교,37.48837857,127.0352324
양화중학교,중학교,37.5196596,126.8959945
서울안산초등학교,초등학교,37.57916901,126.9522097
서울신자초등학교,초등학교,37.53027881,127.0755876
서울여자고등학교,고등학교,37.5477805,126.94907
서울장월초등학교,초등학교,37.62194109,127.0471628
풍납중학교,중학교,37.52536544,127.1156283
상신중학교,중학교,37.58978547,126.9064249
서울장곡초등학교,초등학교,37.61683137,127.0481552
선정중학교,중학교,37.61870451,126.9090316
서울대림초등학교,초등학교,37.5006148,126.9248833
서울잠동초등학교,초등학교,37.51833846,127.099931
온곡중학교,중학교,37.66058142,127.0643327
목일중학교,중학교,37.51354095,126.8740325
영파여자고등학교,고등학교,37.53273562,127.1197395
서울문백초등학교,초등학교,37.44709025,126.8986974
백석중학교,중학교,37.54829091,126.8589539
서울창천초등학교,초등학교,37.55491782,126.9392951
당곡중학교,중학교,37.4923589,126.9326777
계성초등학교,초등학교,37.5049159,126.9968257
창문여자중학교,중학교,37.6134057,127.0357962
서울개운초등학교,초등학교,37.60183902,127.0275962
동북초등학교,초등학교,37.65634868,127.0268766
서울월곡초등학교,초등학교,37.61002442,127.046081
덕성여자고등학교,고등학교,37.57776082,126.9835581
정원여자중학교,중학교,37.58538212,126.9333431
정신여자중학교,중학교,37.50945384,127.0738473
서울행현초등학교,초등학교,37.55770899,127.029368
서울영원초등학교,초등학교,37.51071936,126.9021825
서울중마초등학교,초등학교,37.56579084,127.0790239
방배중학교,중학교,37.49486827,126.997827
서울중원초등학교,초등학교,37.64398229,127.0627832
장원중학교,중학교,37.55396452,127.0060429
서울송파초등학교,초등학교,37.50713737,127.111119
서울도곡초등학교,초등학교,37.49951141,127.0544655
전동중학교,중학교,37.58619359,127.0709291
방원중학교,중학교,37.57597576,126.8086174
난우중학교,중학교,37.46680396,126.9228283
거원중학교,중학교,37.48772386,127.1465491
양재고등학교,고등학교,37.48242164,127.0320796
서울양동초등학교,초등학교,37.52584826,126.8512402
중앙중학교,중학교,37.58378822,126.9874726
서울잠원초등학교,초등학교,37.501859,126.9980966
목동중학교,중학교,37.5209572,126.8714631
등촌고등학교,고등학교,37.56294522,126.8450461
휘경여자고등학교,고등학교,37.58190052,127.0674341
서울가원초등학교,초등학교,37.48944215,127.1110274
무학중학교,중학교,37.55768336,127.0319746
등촌중학교,중학교,37.55248221,126.8592148
배문고등학교,고등학교,37.54999783,126.9639041
서울염동초등학교,초등학교,37.55209548,126.8723509
구일고등학교,고등학교,37.49350529,126.8746185
서울상지초등학교,초등학교,37.57975102,126.8820736
양천중학교,중학교,37.51900116,126.8305508
서울대방초등학교,초등학교,37.50290012,126.9190202
화원중학교,중학교,37.53621409,126.8424164
서울영풍초등학교,초등학교,37.49622,127.1430148
서울세곡초등학교,초등학교,37.5050561,126.8491198
서울삼광초등학교,초등학교,37.54775231,126.9765943
등명중학교,중학교,37.56019335,126.8433041
서울서원초등학교,초등학교,37.5024389,127.0146195
서울명신초등학교,초등학교,37.58146865,127.0146229
압구정중학교,중학교,37.53024224,127.0330027
숙명여자중학교,중학교,37.49147536,127.0526126
동덕여자고등학교,고등학교,37.47583666,126.991995
서울장수초등학교,초등학교,37.5129972,126.8451597
서울봉천초등학교,초등학교,37.4832696,126.9581884
서울한남초등학교,초등학교,37.53920365,127.0055998
