name,lat,lng
4.19민주묘지,37.64954,127.01371
가락시장,37.492318,127.1177
가산디지털단지,37.480376,126.882704
가양,37.561111,126.855078
가오리,37.64162,127.01681
가좌,37.568611,126.914841
강남,37.49805,127.02795
강남구청,37.517185,127.04122
강동,37.53581,127.13249
강동구청,37.530348,127.120461
강변,37.535161,127.094684
강일,37.557521,127.176018
개롱,37.498097,127.134817
개봉,37.494698,126.858504
개포동,37.489112,127.066027
개화,37.578611,126.798333
개화산,37.572458,126.806838
거여,37.493208,127.143983
건대입구,37.540408,127.069231
경복궁,37.575844,126.973576
경찰병원,37.495754,127.124198
고덕,37.555002,127.154214
고려대,37.59034,127.03626
고속터미널,37.504953,127.004916
공덕,37.544005,126.951058
공릉,37.625642,127.072969
공항시장,37.563611,126.810278
관악산,37.469102,126.945065
광나루,37.545301,127.103478
광운대,37.6225,127.062222
광화문,37.570545,126.976568
광흥창,37.547464,126.931971
교대,37.493957,127.014631
구로,37.503333,126.8825
구로디지털단지,37.485005,126.902626
구룡,37.486985,127.059496
구반포,37.501111,126.987222
구산,37.611223,126.917246
구의,37.536857,127.085024
구일,37.496944,126.870833
구파발,37.636612,126.918827
국회의사당,37.528333,126.918056
군자,37.557102,127.079559
굽은다리,37.545442,127.142844
금천구청,37.455278,126.894167
금호,37.548269,127.015785
길동,37.538022,127.140085
길음,37.604087,127.025353
김포공항,37.56217,126.801273
까치산,37.53181,126.846706
낙성대,37.47693,126.963783
남구로,37.486181,126.887372
남부터미널,37.48494,127.016289
남성,37.484688,126.971108
남영,37.540556,126.971389
남태령,37.464339,126.989081
내방,37.48764,126.993541
노들,37.5125,126.953056
노량진,37.514167,126.942222
노원,37.656274,127.063183
녹번,37.600882,126.935758
녹사평,37.53469,126.98665
녹천,37.644444,127.051111
논현,37.511108,127.021385
당고개,37.67009,127.079004
답십리,37.566833,127.05266
당곡,37.490547,126.926941
당산,37.533877,126.902011
대림,37.492426,126.895293
대모산입구,37.491347,127.072702
대방,37.513333,126.926111
대청,37.493607,127.079526
대치,37.494601,127.063449
대흥,37.547732,126.942214
도곡,37.491129,127.055694
도림천,37.514759,126.882586
도봉,37.68,127.045833
도봉산,37.689131,127.046548
독립문,37.574534,126.957902
독바위,37.618413,126.933035
독산,37.466389,126.889167
돌곶이,37.610522,127.056419
동대문,37.57179,127.011383
동대문역사문화공원,37.565597,127.009113
동대입구,37.55816,127.005273
동묘앞,37.573265,127.016459
동작,37.503567,126.980171
둔촌동,37.527787,127.136219
둔촌오륜,37.519444,127.138056
등촌,37.550833,126.865556
